"Source:","C:\work\arduino\kicad\epaper_board_layout\epaper_board_layout\epaper_board_layout.kicad_sch"
"Date:","4/19/2023 6:13:36 PM"
"Tool:","Eeschema 7.0.1"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","17"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Sim.Device","Sim.Pins","Sim.Type"
"1","2","C1, C2","22pF","Device:C","Capacitor_THT:C_Radial_D6.3mm_H5.0mm_P2.50mm","https://www.digikey.com/en/products/detail/vishay-beyschlag-draloric-bc-components/K220J10C0GF5UH5/2821614","","","",""
"2","3","C3, C4, C5","100nF","Device:C","Capacitor_THT:C_Radial_D6.3mm_H5.0mm_P2.50mm","https://www.digikey.com/en/products/detail/vishay-beyschlag-draloric-bc-components/K104K15X7RF53H5G/13279844","","","",""
"3","1","D1","D 15V 150mA","Device:D","Diode_THT:D_DO-35_SOD27_P10.16mm_Horizontal","https://www.digikey.com/en/products/detail/onsemi/FJH1101/1058003","","D","1=K 2=A",""
"4","2","J1, J2","Conn_01x06_Pin","Connector:Conn_01x06_Pin","Connector_JST:JST_EH_B6B-EH-A_1x06_P2.50mm_Vertical","~","","","",""
"5","1","J3","Conn_01x08_Pin","Connector:Conn_01x08_Pin","Connector_JST:JST_EH_B8B-EH-A_1x08_P2.50mm_Vertical","~","","","",""
"6","1","J4","Conn_01x02_Socket","Connector:Conn_01x02_Socket","Connector_JST:JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical","~","","","",""
"7","1","Q1","PMOS - LP0701N3-G","Simulation_SPICE:PMOS","Package_TO_SOT_THT:TO-92","https://www.digikey.com/en/products/detail/microchip-technology/lp0701n3-g/4902364","","PMOS","1=D 2=G 3=S","VDMOS"
"8","1","R1","10K","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","https://www.digikey.com/en/products/detail/stackpole-electronics-inc/CF14JT10K0/1741265","","","",""
"9","1","R2","100K","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","https://www.digikey.com/en/products/detail/stackpole-electronics-inc/RNF14BTE100K/1682686","","","",""
"10","1","R3","100k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","https://www.digikey.com/en/products/detail/stackpole-electronics-inc/RNF14BTE100K/1682686","","","",""
"11","1","SW1","SW_Push","Switch:SW_Push","Button_Switch_THT:SW_PUSH_6mm_H5mm","https://www.digikey.com/en/products/detail/omron-electronics-inc-emc-div/B3F-1000/33150","","","",""
"12","1","U1","ATmega328-P","MCU_Microchip_ATmega:ATmega328-P","Package_DIP:DIP-28_W7.62mm","http://ww1.microchip.com/downloads/en/DeviceDoc/ATmega328_P%20AVR%20MCU%20with%20picoPower%20Technology%20Data%20Sheet%2040001984A.pdf","","","",""
"13","1","Y1","16Mhz","Device:Crystal","Crystal:Crystal_HC49-4H_Vertical","https://www.digikey.com/en/products/detail/ecs-inc/ECS-160-20-1X/827525","","","",""
